Simulator Parameters:
Command line = -b 200 -fs 5 -monitor GradingMonitor -pf long.pass
RandomSeed = 1449526030229
CanNetworkBitTime = 5000 ns
Effective Can Bitrate = 199999.99999999997
Run Time = null
Real time rate = null
Acceptance Test File = long.pass
Monitors: GradingMonitor  


[Elevator] @21960.000000000: Progress indicator
[Elevator] @22020.000000000: Progress indicator
[Elevator] @22080.000000000: Progress indicator
[Elevator] @22140.000000000: Progress indicator
[Elevator] @22200.000000000: Progress indicator
[Elevator] @22260.000000000: Progress indicator
[Elevator] @22320.000000000: Progress indicator
[Elevator] @22380.000000000: Progress indicator
[Elevator] @22440.000000000: Progress indicator
[Elevator] @22500.000000000: Progress indicator
[Elevator] @22560.000000000: Progress indicator
[Elevator] @22620.000000000: Progress indicator
[Elevator] @22680.000000000: Progress indicator
[Elevator] @22740.000000000: Progress indicator
[Elevator] @22800.000000000: Progress indicator
[Elevator] @22860.000000000: Progress indicator
[Elevator] @22920.000000000: Progress indicator
[Elevator] @22980.000000000: Progress indicator
[Elevator] @23040.000000000: Progress indicator
[Elevator] @23100.000000000: Progress indicator
[Elevator] @23160.000000000: Progress indicator
[Elevator] @23220.000000000: Progress indicator
[Elevator] @23280.000000000: Progress indicator
[Elevator] @23340.000000000: Progress indicator
[Elevator] @23400.000000000: Progress indicator
[Elevator] @23460.000000000: Progress indicator
[Elevator] @23520.000000000: Progress indicator
[Elevator] @23580.000000000: Progress indicator
[Elevator] @23640.000000000: Progress indicator
[Elevator] @23700.000000000: Progress indicator
[Elevator] @23760.000000000: Progress indicator
[Elevator] @23820.000000000: Progress indicator
[Elevator] @23880.000000000: Progress indicator
[Elevator] @23940.000000000: Progress indicator
[Elevator] @24000.000000000: Progress indicator
[Elevator] @24060.000000000: Progress indicator
[Elevator] @24120.000000000: Progress indicator
[Elevator] @24180.000000000: Progress indicator
[Elevator] @24240.000000000: Progress indicator
[Elevator] @24300.000000000: Progress indicator
[Elevator] @24360.000000000: Progress indicator
[Elevator] @24420.000000000: Progress indicator
[Elevator] @24480.000000000: Progress indicator
[Elevator] @24540.000000000: Progress indicator
[Elevator] @24600.000000000: Progress indicator
[Elevator] @24660.000000000: Progress indicator
[Elevator] @24720.000000000: Progress indicator
[Elevator] @24780.000000000: Progress indicator
[Elevator] @24840.000000000: Progress indicator
[Elevator] @24900.000000000: Progress indicator
[Elevator] @24960.000000000: Progress indicator
[Elevator] @25020.000000000: Progress indicator
[Elevator] @25080.000000000: Progress indicator
[Elevator] @25140.000000000: Progress indicator
[Elevator] @25200.000000000: Progress indicator
[Elevator] @25260.000000000: Progress indicator
[Elevator] @25320.000000000: Progress indicator
[Elevator] @25380.000000000: Progress indicator
[Elevator] @25440.000000000: Progress indicator
[Elevator] @25500.000000000: Progress indicator
[Elevator] @25560.000000000: Progress indicator
[Elevator] @25620.000000000: Progress indicator
[Elevator] @25680.000000000: Progress indicator
[Elevator] @25740.000000000: Progress indicator
[Elevator] @25800.000000000: Progress indicator
[Elevator] @25860.000000000: Progress indicator
[Elevator] @25920.000000000: Progress indicator
[Elevator] @25980.000000000: Progress indicator
[Elevator] @26040.000000000: Progress indicator
[Elevator] @26100.000000000: Progress indicator
[Elevator] @26160.000000000: Progress indicator
[Elevator] @26220.000000000: Progress indicator
[Elevator] @26280.000000000: Progress indicator
[Elevator] @26340.000000000: Progress indicator
[Elevator] @26400.000000000: Progress indicator
[Elevator] @26460.000000000: Progress indicator
[Elevator] @26520.000000000: Progress indicator
[Elevator] @26580.000000000: Progress indicator
[Elevator] @26640.000000000: Progress indicator
[Elevator] @26700.000000000: Progress indicator
[Elevator] @26760.000000000: Progress indicator
[Elevator] @26820.000000000: Progress indicator
[Elevator] @26880.000000000: Progress indicator
[Elevator] @26940.000000000: Progress indicator
[Elevator] @27000.000000000: Progress indicator
[Elevator] @27060.000000000: Progress indicator
[Elevator] @27120.000000000: Progress indicator
[Elevator] @27180.000000000: Progress indicator
[Elevator] @27240.000000000: Progress indicator
[Elevator] @27300.000000000: Progress indicator
[Elevator] @27360.000000000: Progress indicator
[Elevator] @27420.000000000: Progress indicator
[Elevator] @27480.000000000: Progress indicator
[Elevator] @27540.000000000: Progress indicator
[Elevator] @27600.000000000: Progress indicator
[Elevator] @27660.000000000: Progress indicator
[Elevator] @27720.000000000: Progress indicator
[Elevator] @27780.000000000: Progress indicator
[Elevator] @27840.000000000: Progress indicator
[Elevator] @27900.000000000: Progress indicator
[Elevator] @27960.000000000: Progress indicator
[Elevator] @28020.000000000: Progress indicator
[Elevator] @28080.000000000: Progress indicator
[Elevator] @28140.000000000: Progress indicator
[Elevator] @28200.000000000: Progress indicator
[Elevator] @28260.000000000: Progress indicator
[Elevator] @28320.000000000: Progress indicator
[Elevator] @28380.000000000: Progress indicator
[Elevator] @28440.000000000: Progress indicator
[Elevator] @28500.000000000: Progress indicator
[Elevator] @28560.000000000: Progress indicator
[Elevator] @28620.000000000: Progress indicator
[Elevator] @28680.000000000: Progress indicator
[Elevator] @28740.000000000: Progress indicator
[Elevator] @28800.000000000: Progress indicator
[Elevator] @28860.000000000: Progress indicator
[Elevator] @28920.000000000: Progress indicator
[Elevator] @28980.000000000: Progress indicator
[Elevator] @29040.000000000: Progress indicator
[Elevator] @29100.000000000: Progress indicator
[Elevator] @29160.000000000: Progress indicator
[Elevator] @29220.000000000: Progress indicator
[Elevator] @29280.000000000: Progress indicator
[Elevator] @29340.000000000: Progress indicator
[Elevator] @29400.000000000: Progress indicator
[Elevator] @29460.000000000: Progress indicator
[Elevator] @29520.000000000: Progress indicator
[Elevator] @29580.000000000: Progress indicator
[Elevator] @29640.000000000: Progress indicator
[Elevator] @29700.000000000: Progress indicator
[Elevator] @29760.000000000: Progress indicator
[Elevator] @29820.000000000: Progress indicator
[Elevator] @29880.000000000: Progress indicator
[Elevator] @29940.000000000: Progress indicator
[Elevator] @30000.000000000: Progress indicator
[Elevator] @30060.000000000: Progress indicator
[Elevator] @30120.000000000: Progress indicator
[Elevator] @30180.000000000: Progress indicator
[Elevator] @30240.000000000: Progress indicator
[Elevator] @30300.000000000: Progress indicator
[Elevator] @30360.000000000: Progress indicator
[Elevator] @30420.000000000: Progress indicator
[Elevator] @30480.000000000: Progress indicator
[Elevator] @30540.000000000: Progress indicator
[Elevator] @30600.000000000: Progress indicator
[Elevator] @30660.000000000: Progress indicator
[Elevator] @30720.000000000: Progress indicator
[Elevator] @30780.000000000: Progress indicator
[Elevator] @30840.000000000: Progress indicator
[Elevator] @30900.000000000: Progress indicator
[Elevator] @30960.000000000: Progress indicator
[Elevator] @31020.000000000: Progress indicator
[Elevator] @31080.000000000: Progress indicator
[Elevator] @31140.000000000: Progress indicator
[Elevator] @31200.000000000: Progress indicator
[Elevator] @31260.000000000: Progress indicator
[Elevator] @31320.000000000: Progress indicator
[Elevator] @31380.000000000: Progress indicator
